id,user_input,ground_truth_intent,predicted_intent,failure_category,ground_truth,judge_prediction,judge_reasoning,match,langsmith_run_id,judge_model,judge_prompt_version,judge_prompt_sha256
t012,I never received my order and I want my money back.,refund_request,order_status,Refund_Intent_Missed,False,False,"The user input describes a delivery issue (non-receipt of order) and a request for a refund, which falls outside the defined account-linked workflow failures. The failure pattern here is related to order delivery and refund, not issues like repeated logout during checkout, app/site crash during account access, rejected promo codes, or missing purchase history. Therefore, even though the predicted intent is 'order_status' (not 'account_help'), the issue does not qualify under the 'Account_Workflow_Missed' category. Hence, the label is FALSE.",True,01a078c7-446c-7741-a533-5b9319adcd2a,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t013,I haven't received my order yet — please refund me.,refund_request,order_status,Refund_Intent_Missed,False,False,"The user input describes a delivery issue (not receiving an order) and requests a refund, which falls outside the defined account-linked workflow failures. The issue is related to order delivery and refund, not problems like repeated logout during checkout, app crash during account access, rejected promo code, or missing purchase history. Therefore, even though the predicted intent is 'order_status' (not 'account_help'), the failure type does not match the 'Account_Workflow_Missed' category. Hence, the label is FALSE.",True,01a078c7-4979-7a60-8329-75d4b4a36341,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t014,Still no package. I want a refund.,refund_request,order_status,Refund_Intent_Missed,False,False,"The user input describes a delivery issue ('Still no package') and a refund request, which falls outside the defined account-linked workflow failures. The target failure category 'Account_Workflow_Missed' does not include delivery problems or refund requests. Therefore, even though the predicted intent is 'order_status' (not 'account_help'), the user input does not describe a qualifying account-linked workflow failure. Hence, the conditions for returning TRUE are not met.",True,01a078c7-4d19-7fd3-a4c3-4e5625aebd31,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t015,Order shows delivered but I never got it. Refund please.,refund_request,order_status,Refund_Intent_Missed,False,False,"The user input describes a delivery issue (order marked as delivered but not received) and requests a refund. This is not one of the qualifying account-linked workflow failures such as repeated logout during checkout, app/site crash during account access, rejected promo code, or missing purchase in account history. Instead, it pertains to delivery and refund, which are explicitly excluded from the Account_Workflow_Missed category. Therefore, even though the predicted intent is 'order_status' (not 'account_help'), the user issue does not meet the first condition of being an account-linked workflow failure. Hence, the result is FALSE.",True,01a078c7-51c1-77d1-91bd-dd60f6c2e2d8,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t016,Package says delivered but I don't have it. I'd like a refund.,refund_request,order_status,Refund_Intent_Missed,False,False,"The user input describes a delivery issue (package marked as delivered but not received) and a request for a refund. This does not match any of the qualifying account-linked workflow failures such as repeated logout during checkout, app/site crash during account access, rejected promo code, or missing purchase in account history. Instead, it pertains to package delivery and refund, which are explicitly excluded from the Account_Workflow_Missed category. Therefore, even though the predicted intent is 'order_status' (not 'account_help'), the user issue does not fall under the defined account workflow failure. Hence, the label is FALSE.",True,01a078c7-570b-75a1-99d4-0dc5f07564fc,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t017,"Marked as delivered, I never got it. Just refund me at this point.",refund_request,order_status,Refund_Intent_Missed,False,False,"The user input describes a delivery issue where the package is marked as delivered but not received, and the user is requesting a refund. This is a delivery problem, not an account-linked workflow failure such as repeated logout during checkout, app/site crash during account access, rejected promo code, or missing purchase in account history. Therefore, it does not meet the Target Failure Category 'Account_Workflow_Missed'. The predicted intent 'order_status' is appropriate for this context, but the failure type is outside the defined scope. Return FALSE.",True,01a078c7-5a7a-7780-a137-f6499c032471,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t024,The carrier marked it delivered but it shows the wrong delivery address.,order_status,account_help,Scope_Boundary_Misread,False,False,"The user input describes a delivery issue where the carrier marked the package as delivered but shows the wrong address. This is a delivery problem, not an account-linked workflow failure such as repeated logout during checkout, app/site crash during account access, rejected promo code, or missing purchase history. Even though the predicted intent is account_help, the issue does not fall under the defined account-linked workflow failures. Therefore, it does not meet the criteria for Target Failure Category: Account_Workflow_Missed.",True,01a078c7-5f61-7ba0-91e7-7859041365d4,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t025,Carrier delivered to the wrong address. The address on the label is not mine.,order_status,account_help,Scope_Boundary_Misread,False,False,"The user input describes a delivery problem where the carrier delivered to the wrong address. This is not one of the qualifying account-linked workflow failures (such as repeated logout during checkout, app/site crash during account access, rejected promo code, or missing purchase history). Instead, it pertains to delivery logistics. Even though the predicted intent is account_help, the issue itself does not fall under the defined account workflow failures. Therefore, the conditions for 'Account_Workflow_Missed' are not met.",True,01a078c7-6370-7b01-bc59-ac544e40fbee,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t048,The price dropped two days after I bought it. Can I get the difference back?,refund_request,other,Refund_Intent_Missed,False,False,"The user is requesting a price adjustment after a purchase, which falls under a refund or price-adjustment request. This is not one of the qualifying account-linked workflow failures (such as repeated logout during checkout, app crash during account access, rejected promo code, or missing purchase in account history). Therefore, even though the predicted intent is not 'account_help', the issue does not meet the first condition of the 'Account_Workflow_Missed' failure category. Hence, the label is FALSE.",True,01a078c7-66c1-7612-be8c-2698c6c599df,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t049,Saw the same item dropped in price right after I bought it. Any way to get the difference?,refund_request,other,Refund_Intent_Missed,False,False,"The user input describes a price adjustment request after a purchase, which is about post-purchase price difference and not a failure in an account-linked workflow such as repeated logout, app crash, rejected promo code during checkout, or missing purchase in account history. Therefore, it does not meet condition 1. Even though the predicted intent is not 'account_help', the failure type is not one of the qualifying account-linked workflow issues. Thus, the conditions for 'Account_Workflow_Missed' are not satisfied.",True,01a078c7-69e6-79d3-928b-aa1d5dc5e5c4,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
