id,user_input,ground_truth_intent,predicted_intent,failure_category,ground_truth,judge_prediction,judge_reasoning,match,langsmith_run_id,judge_model,judge_prompt_version,judge_prompt_sha256
t012,I never received my order and I want my money back.,refund_request,order_status,Refund_Intent_Missed,False,False,"The user is complaining about not receiving an order and requesting a refund, which is a delivery/order issue, not an account-linked workflow failure. Therefore condition 1 is not met, so the result is FALSE.",True,01a078c6-e823-7b91-81bc-22a754e08785,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t013,I haven't received my order yet — please refund me.,refund_request,order_status,Refund_Intent_Missed,False,False,"The user is requesting a refund because they haven't received their order, which is a delivery/tracking issue, not an account-linked workflow failure. Therefore, condition 1 is not met, and the correct response is FALSE.",True,01a078c6-edd5-76d2-b0d4-7b4155682a5f,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t014,Still no package. I want a refund.,refund_request,order_status,Refund_Intent_Missed,False,False,"The user is complaining about a missing package and requesting a refund, which is a delivery/tracking issue, not an account-linked workflow failure. Therefore condition 1 is not met, and the ticket should not be marked as Account_Workflow_Missed.",True,01a078c6-f0bd-7c42-a74a-36def420f0eb,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t015,Order shows delivered but I never got it. Refund please.,refund_request,order_status,Refund_Intent_Missed,False,False,"The user is reporting a delivery issue (order marked delivered but not received) and requesting a refund. This does not describe an account-linked workflow failure such as logout during checkout, app crash, promo code rejection, or missing purchase in account history. Although the predicted intent (order_status) is not 'account_help', the first condition is not met, so the ticket is not an Account_Workflow_Missed failure.",True,01a078c6-f435-71f3-b2a7-d4a6dd62669b,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t016,Package says delivered but I don't have it. I'd like a refund.,refund_request,order_status,Refund_Intent_Missed,False,False,"The user is reporting a delivery issue (package marked delivered but not received) and requesting a refund. This does not describe an account-linked workflow failure such as logout during checkout, app crash, promo code rejection, or missing purchase in account history. Although the predicted intent (order_status) is not 'account_help', the first condition is not met, so the ticket is not an Account_Workflow_Missed failure.",True,01a078c6-f805-7dc3-bdfc-e83ca0079dc0,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t017,"Marked as delivered, I never got it. Just refund me at this point.",refund_request,order_status,Refund_Intent_Missed,False,False,"The user is reporting a delivery issue (item marked as delivered but not received) and requesting a refund. This does not describe an account-linked workflow failure such as logout during checkout, app crash, rejected promo code, or missing purchase in account history. Therefore, condition 1 is not met, and the correct response is FALSE.",True,01a078c6-fbe0-7dc3-ac25-c5e11840cb17,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t024,The carrier marked it delivered but it shows the wrong delivery address.,order_status,account_help,Scope_Boundary_Misread,False,False,"The user is reporting a delivery issue (wrong delivery address), which does not match any of the defined account-linked workflow failures. Therefore condition 1 is not met, and the result is FALSE.",True,01a078c6-ff5c-7241-bef3-4b8f718cbe2d,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t025,Carrier delivered to the wrong address. The address on the label is not mine.,order_status,account_help,Scope_Boundary_Misread,False,False,"The user is reporting a delivery issue (wrong address on the label), which does not describe an account-linked workflow failure. Since condition 1 is not met, the ticket does not qualify for the Account_Workflow_Missed category, regardless of the predicted intent.",True,01a078c7-02b4-77f0-ae24-c7908602d4f1,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t048,The price dropped two days after I bought it. Can I get the difference back?,refund_request,other,Refund_Intent_Missed,False,False,"The user is asking for a price adjustment after a purchase, which does not describe an account-linked workflow failure (e.g., logout during checkout, app crash, promo code rejection, missing purchase in account history). Therefore, condition 1 is not met, and the ticket should not be marked as Account_Workflow_Missed.",True,01a078c7-057b-7533-ab37-53dc33b5edbc,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t049,Saw the same item dropped in price right after I bought it. Any way to get the difference?,refund_request,other,Refund_Intent_Missed,False,False,"The user is asking for a price adjustment after a purchase, which is a price‑adjustment request, not an account‑linked workflow failure. Therefore the ticket does not meet the criteria for Account_Workflow_Missed.",True,01a078c7-08b2-7b13-9fb9-fb4da9f17e26,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
