id,ticket_text,true_category,predicted_category,reasoning,langsmith_run_id,correct,run_name,prompt_version,prompt_sha256,model
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,The customer is asking about the location and tracking of an order they placed.,01a07894-6fa7-7ff2-bc45-3eea023d5780,True,improved,account-workflow-v2,0cb930849184049679707345f4922e1e9206f64da7525ea38be76f6715a62d86,openai/gpt-oss-120b
t001,"Hey, placed an order for a blender 5 days back and the tracking still shows nothing. Where is it?",order_status,order_status,"The customer is asking about the whereabouts and tracking of a recent order, which fits the 'order_status' category.",01a07894-7449-7f20-a570-fc618fb13036,True,improved,account-workflow-v2,0cb930849184049679707345f4922e1e9206f64da7525ea38be76f6715a62d86,openai/gpt-oss-120b
t002,"So I ordered a blender on Monday, supposedly it shipped, but the tracking page is dead. What's going on?",order_status,order_status,The customer is asking about the status of their order and tracking information.,01a07894-767a-76c0-a461-6cab33251289,True,improved,account-workflow-v2,0cb930849184049679707345f4922e1e9206f64da7525ea38be76f6715a62d86,openai/gpt-oss-120b
t003,My package was supposed to arrive yesterday but it's still not here. Order #44812.,order_status,order_status,The customer is asking about the delivery status of a specific order.,01a07894-7869-7341-9a51-77832f618d2a,True,improved,account-workflow-v2,0cb930849184049679707345f4922e1e9206f64da7525ea38be76f6715a62d86,openai/gpt-oss-120b
t004,Order #44812 was due yesterday and hasn't shown up. Any update?,order_status,order_status,The customer is asking about the whereabouts and delivery status of a specific order.,01a07894-7a29-7093-b919-342eb8cc6a2b,True,improved,account-workflow-v2,0cb930849184049679707345f4922e1e9206f64da7525ea38be76f6715a62d86,openai/gpt-oss-120b
t005,Where's my package? Was supposed to arrive yesterday — order #44812 if that helps.,order_status,order_status,"The customer is asking about the location and delivery status of an order, which falls under order_status.",01a07894-7c15-71a3-a52a-5eaf1176129d,True,improved,account-workflow-v2,0cb930849184049679707345f4922e1e9206f64da7525ea38be76f6715a62d86,openai/gpt-oss-120b
t006,Tracking link in the email just spins forever. Order #88421.,order_status,order_status,"The customer is having trouble accessing the tracking link for their order, which is a question about order status and tracking.",01a07894-7e12-7580-ba39-01de7670e7bb,True,improved,account-workflow-v2,0cb930849184049679707345f4922e1e9206f64da7525ea38be76f6715a62d86,openai/gpt-oss-120b
t007,"Hey, the tracking link you emailed me for order 88421 doesn't load — just keeps spinning. Help?",order_status,order_status,"The customer is asking about a tracking link for an order, which is a question about order status and delivery tracking.",01a07894-7ff7-7832-888e-7c4ba67b8139,True,improved,account-workflow-v2,0cb930849184049679707345f4922e1e9206f64da7525ea38be76f6715a62d86,openai/gpt-oss-120b
t008,Tracking URL is broken. Order 88421. Can you tell me where the package is?,order_status,order_status,"The customer is asking about the location of their package and mentions a broken tracking URL, which is a question about order status and tracking.",01a07894-81fc-71d3-b628-f0e9b9bb5c49,True,improved,account-workflow-v2,0cb930849184049679707345f4922e1e9206f64da7525ea38be76f6715a62d86,openai/gpt-oss-120b
t009,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,"The customer is asking about a missing delivery that shows as delivered, which is a question about order tracking and delivery status.",01a07894-8436-73b1-9e62-c86831709eeb,True,improved,account-workflow-v2,0cb930849184049679707345f4922e1e9206f64da7525ea38be76f6715a62d86,openai/gpt-oss-120b
